FirstName LastName Present Time One2OneFirst Last Hours One2OneFirst Last Hours One2OneFirst Last Hours FloaterHours
FirstName LastName0 true 9:30-2:30 FirstName LastName 6 FirstName LastName 0 FirstName LastName 0 2 


FirstName LastName1 true 9:30-2:30 FirstName LastName 6 FirstName LastName 0 FirstName LastName 0 2 


FirstName LastName2 true 9:30-2:30 FirstName LastName 6 FirstName LastName 0 FirstName LastName 0 2 


FirstName LastName3 true 9:30-2:30 FirstName LastName 6 FirstName LastName 0 FirstName LastName 0 2 


FirstName LastName4 true 9:30-2:30 FirstName LastName 6 FirstName LastName 0 FirstName LastName 0 2 


FirstName LastName5 true 9:30-2:30 FirstName LastName 6 FirstName LastName 0 FirstName LastName 0 2 


FirstName LastName6 true 9:30-2:30 FirstName LastName 6 FirstName LastName 0 FirstName LastName 0 2 


FirstName LastName7 true 9:30-2:30 FirstName LastName 6 FirstName LastName 0 FirstName LastName 0 2 


FirstName LastName8 true 9:30-2:30 FirstName LastName 6 FirstName LastName 0 FirstName LastName 0 2 


FirstName LastName9 true 9:30-2:30 FirstName LastName 6 FirstName LastName 0 FirstName LastName 0 2 


FirstName LastName10 false 9:30-2:30 FirstName LastName 6 FirstName LastName 0 FirstName LastName 0 0 

